transition_date,year,month,person_id,age_group,age,gender,race,facility,full_name,time_period,state_id,state_code
2017-01-16,2017,1,0005712605,<25,21,MALE,BLACK,FACILITY_1,"Williams, Mason",months_25_60,03238,US_OZ
2017-01-21,2017,1,0005471960,<25,24,MALE,BLACK,FACILITY_1,"Smith, Ethan",months_25_60,07719,US_OZ
2017-01-15,2017,1,0009509384,<25,23,MALE,WHITE,FACILITY_1,"Jones, Charlotte",months_25_60,54416,US_OZ
2017-01-27,2017,1,0003209346,<25,18,MALE,WHITE,FACILITY_1,"Smith, Emma",months_25_60,54299,US_OZ
2017-01-22,2017,1,0007001043,<25,23,FEMALE,BLACK,FACILITY_1,"Jones, Benjamin",months_25_60,91104,US_OZ
2017-01-17,2017,1,0004296954,<25,21,FEMALE,HISPANIC,FACILITY_1,"Gonzales, William",months_25_60,95242,US_OZ
2017-01-27,2017,1,0001156441,<25,22,MALE,BLACK,FACILITY_2,"Anderson, Ethan",months_25_60,12062,US_OZ
2017-01-23,2017,1,0008565217,<25,22,MALE,BLACK,FACILITY_2,"Williams, Charlotte",months_25_60,10449,US_OZ
2017-01-09,2017,1,0005951445,<25,18,MALE,WHITE,FACILITY_2,"Rodriguez, Ethan",months_25_60,10488,US_OZ
2017-01-04,2017,1,0008824489,<25,18,MALE,WHITE,FACILITY_2,"Gonzales, Liam",months_25_60,10458,US_OZ
2017-01-22,2017,1,0003657322,<25,19,FEMALE,WHITE,FACILITY_2,"Davis, Mia",months_25_60,86284,US_OZ
2017-01-01,2017,1,0003081346,<25,20,MALE,BLACK,FACILITY_3,"Gonzales, Harper",months_25_60,13313,US_OZ
2017-01-12,2017,1,0007268522,<25,21,MALE,BLACK,FACILITY_3,"Smith, Amelia",months_25_60,04473,US_OZ
2017-01-27,2017,1,0008793702,<25,22,MALE,HISPANIC,FACILITY_3,"Brown, William",months_25_60,26865,US_OZ
2017-01-12,2017,1,0009231451,<25,19,FEMALE,BLACK,FACILITY_3,"Rodriguez, Mason",months_25_60,55473,US_OZ
2017-01-02,2017,1,0003000403,<25,22,FEMALE,BLACK,FACILITY_3,"Smith, Elijah",months_25_60,32614,US_OZ
2017-01-15,2017,1,0008439083,<25,22,FEMALE,HISPANIC,FACILITY_3,"Brown, Liam",months_25_60,28501,US_OZ
2017-01-04,2017,1,0003022945,<25,18,FEMALE,WHITE,FACILITY_3,"Davis, William",months_25_60,32469,US_OZ
2017-01-16,2017,1,0007078301,<25,19,FEMALE,WHITE,FACILITY_3,"Garcia, Lucas",months_25_60,00574,US_OZ
2017-01-26,2017,1,0001335729,<25,20,MALE,BLACK,FACILITY_4,"Rodriguez, Isabella",months_25_60,87172,US_OZ
2017-01-25,2017,1,0008790015,<25,22,MALE,BLACK,FACILITY_4,"Brown, Elijah",months_25_60,91070,US_OZ
2017-01-10,2017,1,0004553209,<25,20,MALE,HISPANIC,FACILITY_4,"Rodriguez, Mia",months_25_60,40031,US_OZ
2017-01-07,2017,1,0008574443,<25,19,MALE,WHITE,FACILITY_4,"Smith, Emma",months_25_60,26212,US_OZ
2017-01-09,2017,1,0006341644,<25,21,FEMALE,BLACK,FACILITY_4,"Davis, Ethan",months_25_60,37319,US_OZ
2017-01-25,2017,1,0002566949,<25,24,FEMALE,BLACK,FACILITY_4,"Williams, Amelia",months_25_60,67745,US_OZ
2017-01-02,2017,1,0000891123,<25,23,MALE,WHITE,FACILITY_5,"Davis, Harper",months_25_60,59658,US_OZ
2017-01-18,2017,1,0003802583,<25,20,MALE,WHITE,FACILITY_5,"Garcia, Charlotte",months_25_60,30814,US_OZ
2017-01-12,2017,1,0001092453,<25,19,FEMALE,BLACK,FACILITY_5,"Williams, Amelia",months_25_60,78084,US_OZ
2017-01-03,2017,1,0002940657,<25,20,FEMALE,WHITE,FACILITY_5,"Gonzales, Mia",months_25_60,50807,US_OZ
2017-01-05,2017,1,0004751533,<25,24,FEMALE,WHITE,FACILITY_5,"Williams, Elijah",months_25_60,79808,US_OZ
2017-01-24,2017,1,0008716252,25-29,29,MALE,HISPANIC,FACILITY_1,"Johnson, Ava",months_25_60,54832,US_OZ
2017-01-23,2017,1,0006554247,25-29,28,MALE,WHITE,FACILITY_1,"Garcia, Charlotte",months_25_60,56445,US_OZ
2017-01-24,2017,1,0009153802,25-29,26,MALE,WHITE,FACILITY_1,"Jones, Lucas",months_25_60,89862,US_OZ
2017-01-08,2017,1,0004648279,25-29,29,FEMALE,BLACK,FACILITY_1,"Jones, Noah",months_25_60,21494,US_OZ
2017-01-06,2017,1,0009096711,25-29,28,FEMALE,BLACK,FACILITY_1,"Gonzales, Ava",months_25_60,75509,US_OZ
2017-01-23,2017,1,0001339991,25-29,27,FEMALE,HISPANIC,FACILITY_1,"Davis, Amelia",months_25_60,67659,US_OZ
2017-01-28,2017,1,0002318299,25-29,27,FEMALE,WHITE,FACILITY_1,"Garcia, Charlotte",months_25_60,62627,US_OZ
2017-01-23,2017,1,0003012098,25-29,27,FEMALE,WHITE,FACILITY_1,"Davis, Elijah",months_25_60,84534,US_OZ
2017-01-03,2017,1,0007030597,25-29,29,MALE,HISPANIC,FACILITY_2,"Gonzales, Liam",months_25_60,02630,US_OZ
2017-01-19,2017,1,0008802167,25-29,28,MALE,HISPANIC,FACILITY_2,"Smith, Oliver",months_25_60,80503,US_OZ
2017-01-19,2017,1,0007740007,25-29,28,MALE,WHITE,FACILITY_2,"Garcia, Olivia",months_25_60,50436,US_OZ
2017-01-05,2017,1,0002268899,25-29,27,MALE,WHITE,FACILITY_2,"Williams, Liam",months_25_60,46538,US_OZ
2017-01-10,2017,1,0009418489,25-29,29,FEMALE,HISPANIC,FACILITY_2,"Smith, Isabella",months_25_60,32848,US_OZ
2017-01-17,2017,1,0004762312,25-29,29,FEMALE,WHITE,FACILITY_2,"Jones, Evelyn",months_25_60,76090,US_OZ
2017-01-15,2017,1,0006813070,25-29,26,MALE,BLACK,FACILITY_3,"Johnson, Isabella",months_25_60,62846,US_OZ
2017-01-28,2017,1,0005208822,25-29,27,MALE,BLACK,FACILITY_3,"Johnson, Mason",months_25_60,39302,US_OZ
2017-01-06,2017,1,0008717104,25-29,27,MALE,HISPANIC,FACILITY_3,"Johnson, Olivia",months_25_60,95646,US_OZ
2017-01-25,2017,1,0005222991,25-29,25,MALE,HISPANIC,FACILITY_3,"Brown, Olivia",months_25_60,78136,US_OZ
2017-01-19,2017,1,0007206873,25-29,25,MALE,WHITE,FACILITY_3,"Anderson, Oliver",months_25_60,99851,US_OZ
2017-01-04,2017,1,0003914116,25-29,29,FEMALE,WHITE,FACILITY_3,"Brown, James",months_25_60,16449,US_OZ
2017-01-23,2017,1,0006120243,25-29,28,FEMALE,BLACK,FACILITY_4,"Johnson, Noah",months_25_60,62310,US_OZ
